Word	OCR variants
the	ihe, that, thc, this, tho, thus
a	an, as, b, c, cf, d, e, f, g, h, i, in, is, it, l, n, no, o, of, or, p, r, s, t, u, v, y
â	cf
1	b, c, cf, cl, d, f, ff, fl, g, ii, j, k, l, lb, m, ma, na, ni, p, q, s, u, v, w, x, y, z
I	II, J
with	vith, wilh
2	b, cf, cl, ii, j, p, v, vs, w, x, y
are	arc, aree, aro, nre, were
be	bc
3	b, cf, cl, ii, j, m, ma, na, ni, p, pl, q, sg, v, w, x, y
for	forr
not	non, nor
4	b, cf, ii, j, x
he	hc, her, him, his, me, oje, one, she, we
on	off, one, out
from	fiom, firom, fkom, frcm, froa, fron, frora, frorn, ftom, irom, trom
verb	veib, verbs, vorb
5	b, cf, ff, ii, j, x
A	AA, AM, B, BY, C, D, E, F, G, H, IC, II, IN, J, JC, K, L, LC, M, N, O, OF, P, R, S, T, U, V, W, X, Y
they	their, them, then, these
have	bave, havc, havo, hnve, hove, hsve, hzve, liave
Â	C, J, JJ, JL, JV, L, N, P, Q, S, T, TJ, TT, U, UJ, V, W, X, Y, Z
you	thou, youp, your, yous
there	ihere, theie, these, thore, tliere, where
6	cf, ff, ii, j, k, x
see	csee, sec
has	had, hns, lias, was
two	tvo
can	case
other	others, rather
used	nsed, uaed, uoed, uscd, usod
7	cf, ff, ii, j
go	get
noun	nouns
when	then, where
form	fora, forms
may	mny, nay, rnay
do	did, don
8	cf, ff, ii, j, q, x
person	derson, nerson, oerson, parson, pcrson, peraon, pereon, peroon, perron, perscn, persoa, persons, persor, perton, petson, porson
0	aa, ac, ba, cf, cj, cl, cm, cr, cs, ee, eg, en, fc, ff, fi, fj, fl, ft, ie, ii, ij, io, ir, j, ka, la, lb, li, lj, lo, ma, mi, ne, ni, ob, oi, oo, pi, q, ra, rl, rr, rt, sa, sg, si, ta, ti, tj, tl, vs, vx, wa, x, ya, yi, z
will	vill, wiil, willl
some	same
9	cf, cl, ff, ii, j, lb, x
clause	ciause, clausal, clausc, clauses, elause
language	languages
word	vord, words
subject	subjcct, subjects
vowel	rowel, vovel, vowei, vowels, vowol, yowel
my	fmy, mrs, thy
so	say, she, too
more	nore
first	firsl, firstt, frrst, ftrst, lirst
11	1n
like	alike
following	foilowing, foliowing, followings, followinq
examples	exaaples, exampies, exanples
suffix	sufflx, suflix
example	exaaple, exampie, exanple
man	men
up	ups
object	objcct, objeci, objects, objoct
who	vho, what, whom, why
between	belween, betweeen, hetween
here	hence
been	bcen, becn, beeu, begun, beon, heen
de	da, del, des, di, du, le, ne, que, se, te, une
come	aome, came, ccme, coae, coine, comc, corne, eome, oome
time	tiae, times, tine, tirne, tlme
stem	stems, stern
use	uses
than	tban, thnn, tlian
plural	plurals
sentence	sentences
occur	occupy, occurs, oceur, ocour, oecur, oocur
final	finai, finall, flnal, linal, tinal
into	inlo, intoo, onto
would	could, should, vould, wculd, wouid
take	make
class	ciass, clasa, classs, clnss, cluss, elass, olass
past	pasl, pasts, pastt
second	sccond
phrase	phrases
many	aany
number	nuaber, numbers, numher, nunber
house	bouse, houses
very	veiy, vory
place	placc, places, plaoe
three	throe
people	peoples
verbal	verbals
marker	markers
meaning	meanings
does	docs, doea, doesn
am	arc, art, em, im, tm, um
english	engiish
about	aboutt, ahout
position	positions
tense	lense, tenses
well	weil, welll
long	iong, loug
while	whilst
head	bead, heads, liead
table	tables
singular	singulars
pa	aa, aka, ala, ama, ana, apa, aya, ca, cha, da, ea, fa, ga, ha, ia, ina, ja, nda, nga, nya, pag, pan, par, pas, pat, pe, pi, po, pu, qa, ra, sa, tha, va, xa, za
each	cach, eaoh
eat	beat, eats, meat
3SG	3FSG, 3MSG, 3SGM, 3SM, ISG
give	gave
order	ordcr, orderr, orders, ordor
section	scction, sections
part	parts
root	roots
now	how
down	dovn, dozvn
type	types, typo
tone	htone, tonal, toned, tones
ki	ai, aki, ani, bi, chi, ci, di, ei, fi, gi, hi, hii, ii, iki, ini, iti, ji, kaa, kai, kal, kam, kan, kas, kat, kd, ke, ken, kia, kii, kl, ko, kon, kt, ku, kun, kwa, li, nii, pi, ri, shi, tii, tsi, wi, yi, zi
construction	constructions
syllable	syllabie, syllables
way	ways
marked	aarked, narked
child	ohild
initial	initials
PL	CL, COL, DL, FPL, HPL, IPL, MPL, NPL, OBL, PAU, PCL, PEJ, PI, PLU, PLZ, POS, PR, PRO, PRS, PST, PT, REL
transitive	transitives
re	ae, ce, ere, fe, ge, ie, ire, ite, je, ke, nre, ore, pe, ra, rc, rd, res, ri, ro, rre, rs, ru, se, ue, ure, ve, whe, ye
below	beiow, belov, helow
NP	AP, DP, HP, LDP, PP, SNP, VP, XP
consonant	consonanl, consonants
structure	structures
water	waters
ï	fi
nominal	nominals
_	bj, cc, cd, cj, cl, cr, cs, cx, fc, fj, fl, ft, hj, ii, ij, jf, jj, jl, jr, js, jt, lc, lf, lj, lr, lv, nl, nn, nr, oj, ot, pj, rc, rf, rh, rj, rl, rr, rt, tf, tj, tl, tn, tt, uj, vc, vf, vh, vj, vl
negative	negatives
chapter	chaptcr, chapters
work	vork, works, worlc
function	functions
third	ihird, lhird, tbird, tliird
back	backs, baok, hack
name	named, names
th	ch, gh, gth, oth, ph, rch, rh, rph, rth, tb, tbe, tha, thf, thi, thl, tho, thp, thr, ths, tht, tic, tiv, tl, tlw, tn, tne, ts, tth, tw, ty
woman	voman, womani, women
went	wcnt, wenl
note	noted, notes
us	usp
action	actions, aotion
even	ever
put	cut, pull, push, puts
NEG	NEC, NEV
cases	bases, eases
main	chain
know	knew, knov, knows
tree	trees
aspect	aspcct
day	dawn, days
al	ab, ac, ad, af, ak, anc, ar, ars, aw, ay, bal, cal, el, ial, il, mal, nal, ol, ral, tal, tl, ual, ul
father	fathers
speech	spcech, specch, speeoh
much	mueh
predicate	predicates, predicator
mo	ako, amo, ano, apo, bo, eo, fo, ho, ino, io, ito, jo, lo, mai, mar, mas, mba, mbo, mon, moo, mu, mun, ndo, ngo, nto, ono, po, rno, ro, vo, wo, yo, zo
mother	brother, mothcr, mothers
adjectives	adjcctives, adjectivals
LOC	FOC, ILOC, LIC, LOCR
tu	au, bu, cu, du, fu, gu, hu, iu, ju, lu, mu, nu, pu, qu, ru, su, taa, tan, tar, tia, tii, tin, ton, tsa, tsi, tua, tul, tun, vu, wu, yu
intransitive	intransitives
set	sets
