Word	OCR variants
the [20494882]	tho [58306], thc [20031], lhe [13076], tbe [20270], ihe [19600]
a [11283233]	c [1508371], b [1209898], e [4897533], d [1433512], g [1388426], f [1432166], i [4978670], h [1627200], k [974918], j [491929], m [1456136], l [2327908], o [2916856], n [3638604], q [225850], p [1141465], s [3520627], r [2391972], u [1546375], t [4418428], w [737634], v [896633], y [894919], x [318504], z [165526]
of [9763504]	on [1542927], cf [398039], or [2320178]
in [8941747]	on [1542927], is [6152470], if [575728], it [2641164], an [1602981]
to [7457819]	do [697600], so [486986]
and [7329220]	any [298987]
â [3674369]	c [1508371], b [1209898], d [1433512], g [1388426], f [1432166], k [974918], j [491929], m [1456136], l [2327908], o [2916856], n [3638604], p [1141465], s [3520627], u [1546375], w [737634], v [896633], y [894919], x [318504]
1 [3630927]	c [1508371], b [1209898], d [1433512], g [1388426], f [1432166], h [1627200], k [974918], j [491929], m [1456136], l [2327908], o [2916856], q [225850], p [1141465], s [3520627], r [2391972], u [1546375], w [737634], v [896633], y [894919], x [318504], z [165526]
as [3236163]	an [1602981]
I [3110550]	A [1234497], C [451167], B [309828], E [385478], D [293243], F [273624], H [384020], J [487603], M [495794], L [438712], O [321580], Q [125585], P [416973], S [608193], R [253835], T [416936], W [196721], V [464191], Y [130683], X [234279], Z [58209]
that [2886141]	what [408542], than [365142], lhat [2844]
with [2804281]	wfth [272], vith [4584], wilh [5778], uith [1270]
2 [2778563]	c [1508371], b [1209898], d [1433512], g [1388426], f [1432166], h [1627200], k [974918], j [491929], m [1456136], l [2327908], q [225850], p [1141465], r [2391972], u [1546375], w [737634], v [896633], y [894919], x [318504], z [165526]
are [2761524]	ore [14121], arc [51429], nre [2549], aro [10917]
be [2679585]	we [826521], bc [8206], bo [84667], re [209075], by [1934108], he [1590261]
3 [2466594]	c [1508371], b [1209898], d [1433512], g [1388426], f [1432166], h [1627200], k [974918], j [491929], m [1456136], l [2327908], q [225850], p [1141465], r [2391972], u [1546375], w [737634], v [896633], y [894919], x [318504], z [165526]
for [2259763]	lor [5490], fbr [669]
this [1994220]	thia [2377], ihis [1346], thus [262084], tbis [960], thls [1111]
not [1776446]	nol [4826], non [365216], now [230809], nor [46969]
