Word	OCR variants
the [20494882]	that [2886141], this [1994220], thus [262084], tho [58306], thc [20031], ihe [19600]
a [11283233]	is [6152470], cf [398039], an [1602981], as [3236163], in [8941747], no [803834], of [9763504], it [2641164], c [1508371], b [1209898], e [4897533], d [1433512], g [1388426], f [1432166], i [4978670], h [1627200], l [2327908], o [2916856], n [3638604], p [1141465], s [3520627], r [2391972], u [1546375], t [4418428], v [896633], y [894919], or [2320178]
â [3674369]	cf [398039]
1 [3630927]	cl [86589], cf [398039], ii [187673], ni [376626], lb [13329], na [701168], ff [19816], fl [37403], c [1508371], b [1209898], ma [476353], d [1433512], g [1388426], f [1432166], k [974918], j [491929], m [1456136], l [2327908], q [225850], p [1141465], s [3520627], u [1546375], w [737634], v [896633], y [894919], x [318504], z [165526]
I [3110550]	II [166372], J [487603]
with [2804281]	vith [4584], wilh [5778]
2 [2778563]	b [1209898], cl [86589], j [491929], cf [398039], ii [187673], p [1141465], vs [72713], w [737634], v [896633], y [894919], x [318504]
are [2761524]	aree [1680], arc [51429], aro [10917], nre [2549], were [347271]
be [2679585]	bc [8206]
3 [2466594]	ii [187673], b [1209898], ma [476353], cl [86589], na [701168], j [491929], m [1456136], cf [398039], q [225850], p [1141465], w [737634], v [896633], y [894919], x [318504], sg [220341], pl [244502], ni [376626]
for [2259763]	forr [1526]
not [1776446]	non [365216], nor [46969]
4 [1606535]	ii [187673], x [318504], b [1209898], cf [398039], j [491929]
he [1590261]	me [551785], we [826521], his [468066], her [261266], one [1196505], oje [3318], she [338143], hc [13419], him [377793]
on [1542927]	out [337527], off [101120], one [1196505]
from [1367449]	frcm [639], fkom [254], trom [647], fron [2543], froa [1821], fiom [2654], irom [538], frorn [483], frora [91], firom [84], ftom [504]
verb [1314541]	vorb [1720], veib [330], verbs [778730]
5 [1244187]	b [1209898], j [491929], cf [398039], ii [187673], ff [19816], x [318504]
A [1234497]	V [464191], BY [6530], JC [4493], LC [6836], AM [25017], AA [7606], C [451167], B [309828], E [385478], D [293243], G [204771], F [273624], H [384020], K [175707], J [487603], M [495794], L [438712], O [321580], N [553833], II [166372], P [416973], S [608193], R [253835], U [193168], T [416936], W [196721], IN [51758], Y [130683], X [234279], IC [8299], OF [93767]
they [1183473]	these [715201], then [405579], them [372483], their [483832]
have [1178645]	hsve [105], bave [851], liave [318], havc [655], hzve [185], hove [1172], havo [1421], hnve [472]
Â [1155689]	JL [4556], C [451167], J [487603], JJ [8880], JV [1028], UJ [2826], L [438712], N [553833], Q [125585], P [416973], S [608193], U [193168], T [416936], W [196721], V [464191], Y [130683], X [234279], Z [58209], TT [13145], TJ [2654]
you [1090477]	thou [32895], yous [1869], your [193900], youp [760]
there [1034471]	thore [475], theie [74], these [715201], tliere [623], ihere [475], where [442298]
6 [1017408]	k [974918], j [491929], cf [398039], ii [187673], ff [19816], x [318504]
see [897680]	csee [160], sec [26200]
has [850479]	was [747208], hns [816], had [253436], lias [2199]
two [833438]	tvo [1792]
can [829022]	case [440524]
other [824316]	rather [153839], others [87035]
used [821076]	usod [452], nsed [332], uaed [747], uscd [476], uoed [258]
7 [803308]	ii [187673], j [491929], cf [398039], ff [19816]
go [775525]	get [178734]
noun [747932]	nouns [450986]
when [737554]	then [405579], where [442298]
form [730238]	forms [578923], fora [3552]
may [729604]	mny [1090], nay [13703], rnay [403]
do [697600]	did [205741], don [108828]
8 [678425]	ii [187673], j [491929], cf [398039], q [225850], ff [19816], x [318504]
person [658442]	petson [78], nerson [83], perton [115], peraon [389], peroon [139], derson [73], oerson [114], persons [53149], pereon [218], perscn [120], porson [221], perron [109], persoa [92], persor [126], pcrson [515], parson [860]
0 [654609]	aa [104764], cj [8266], ac [30508], en [223709], cm [18403], cl [86589], ee [54613], eg [29705], ir [74599], cf [398039], ii [187673], cs [12385], ij [27090], io [37951], vx [1310], cr [16077], ie [46705], rt [36855], ni [376626], lb [13329], rr [33877], la [437412], lo [135003], lj [15259], ne [254347], li [184238], tl [54367], tj [21053], ra [204384], ti [266191], rl [23566], pi [212604], ta [430410], yi [91146], ft [49174], ba [247489], wa [270071], ya [264417], fc [10322], ff [19816], fi [67364], fj [8809], fl [37403], oo [48009], ka [484277], ma [476353], oi [30461], j [491929], mi [221700], ob [20701], q [225850], si [223628], vs [72713], x [318504], sa [241230], z [165526], sg [220341]
will [642742]	vill [1873], willl [859], wiil [519]
some [642320]	same [384768]
9 [635242]	lb [13329], cl [86589], j [491929], cf [398039], ii [187673], ff [19816], x [318504]
clause [599845]	ciause [232], clauses [379494], clausal [22657], elause [118], clausc [1708]
language [581815]	languages [437473]
word [551769]	words [391044], vord [902]
subject [540323]	subjects [66601], subjcct [2044]
vowel [497379]	vovel [330], vowels [231275], vowei [289], vowol [645], yowel [191], rowel [525]
my [497037]	mrs [9069], thy [12457], fmy [86]
so [486986]	say [267583], too [101969], she [338143]
more [483342]	nore [1089]
first [482013]	ftrst [361], firstt [380], lirst [561], frrst [673], firsl [251]
11 [465063]	1n [11521]
like [462830]	alike [6146]
following [461146]	foilowing [200], followings [216], followinq [114], foliowing [194]
examples [456696]	exaaples [312], exampies [174], exanples [391]
suffix [448411]	sufflx [556], suflix [2470]
example [442964]	exanple [311], exaaple [312], exampie [187]
man [429041]	men [111612]
up [424574]	ups [935]
object [423437]	objcct [2531], objects [89800], objoct [238], objeci [70]
who [409696]	whom [40257], what [408542], vho [2036], why [85083]
between [408825]	hetween [125], betweeen [54], belween [77]
here [408092]	hence [36037]
been [396691]	bcen [65], beeu [73], begun [6678], beon [264], becn [108], heen [677]
de [391174]	le [232721], di [221286], des [50222], ne [254347], da [242371], du [115710], del [25325], une [16368], que [45268], te [288682], se [184389]
come [391137]	oome [1142], aome [1112], eome [680], corne [1207], coae [298], ccme [184], comc [2049], coine [119], came [140108]
time [383534]	tirne [161], tine [3162], tiae [463], tlme [500], times [59929]
stem [381400]	stems [196493], stern [4369]
use [368553]	uses [65212]
than [365142]	tban [262], thnn [318], tlian [124]
plural [359353]	plurals [15160]
sentence [350628]	sentences [203677]
occur [345177]	occupy [8646], oocur [286], ocour [211], oecur [124], occurs [268089], oceur [137]
final [330252]	finai [133], finall [480], tinal [230], flnal [300], linal [442]
into [324940]	intoo [79], inlo [389], onto [16561]
would [324634]	wouid [184], wculd [53], vould [560], could [139509], should [153477]
take [321057]	make [246117]
class [315887]	cluss [132], clnss [235], ciass [218], olass [312], clasa [217], elass [182], classs [183]
past [315736]	pasl [539], pasts [590], pastt [159]
second [313378]	sccond [1978]
phrase [312927]	phrases [152398]
many [308488]	aany [387]
number [303998]	nunber [325], nuaber [446], numher [119], numbers [49435]
house [298714]	houses [24803], bouse [533]
very [298262]	veiy [412], vory [272]
place [296595]	plaoe [328], placc [2000], places [29035]
three [295983]	throe [644]
people [291747]	peoples [9186]
verbal [290905]	verbals [4249]
marker [289411]	markers [124295]
meaning [287148]	meanings [50879]
does [279864]	doea [275], doesn [18420], docs [2950]
am [277114]	em [66121], art [26908], um [48214], arc [51429], tm [16446], im [86651]
english [272723]	engiish [197]
about [268982]	ahout [187], aboutt [82]
position [259627]	positions [43874]
tense [255678]	lense [391], tenses [38975]
well [254731]	welll [166], weil [1230]
long [252297]	iong [700], loug [115]
while [251540]	whilst [5141]
head [251005]	bead [3659], liead [66], heads [22072]
table [250629]	tables [13274]
singular [250144]	singulars [2041]
pa [242952]	aa [104764], va [77017], ana [60576], ca [86544], xa [39738], ea [33875], za [36614], ala [25236], ga [185534], ia [103189], apa [16379], ina [34434], cha [27030], par [37699], pas [25438], pat [18700], nga [63378], pu [61294], aya [17720], ra [204384], pe [102308], nya [30323], po [77797], pan [35442], ama [32632], pag [6622], da [242371], fa [72758], ha [201902], ja [111536], pi [212604], sa [241230], qa [41083], nda [25092], aka [24110], tha [38712]
each [241794]	eaoh [215], cach [970]
eat [240879]	beat [40382], eats [11970], meat [66361]
3SG [240301]	3SM [2799], 3FSG [1199], 3SGM [1555], ISG [10105], 3MSG [959]
give [237010]	gave [64904]
order [235607]	ordor [146], orderr [101], orders [12751], ordcr [232]
section [235477]	sections [35242], scction [338]
part [233419]	parts [65632]
root [231104]	roots [127503]
now [230809]	how [225176]
down [229138]	dozvn [71], dovn [175]
type [228918]	types [145205], typo [981]
tone [227952]	toned [16986], tonal [36128], tones [46698], htone [146]
ki [221432]	kwa [30390], ci [80274], ei [46124], zi [23785], iti [13976], ai [112192], ani [36603], ii [187673], ini [32276], hii [7102], kia [9045], gi [76401], kon [14461], chi [42504], li [184238], kun [16170], tii [14952], pi [212604], ri [122532], yi [91146], ken [19163], kaa [20070], nii [15747], di [221286], kai [24100], kan [51817], kam [29421], kal [17919], kas [9746], kii [11553], hi [123540], wi [75288], kat [16174], fi [67364], iki [8035], ke [200255], kd [16512], tsi [21101], ko [186540], kl [21512], bi [128041], aki [12273], ku [200489], kt [14032], shi [21477], ji [81174]
construction [219975]	constructions [189446]
syllable [218010]	syllables [91177], syllabie [107]
way [216122]	ways [43538]
marked [216114]	aarked [291], narked [552]
child [216098]	ohild [391]
initial [213419]	initials [5557]
PL [212947]	DL [9074], PEJ [227], REL [55847], COL [1345], PAU [627], PR [25100], PT [27803], PRO [27326], POS [12208], PRS [20072], PI [30923], OBL [59980], CL [48623], FPL [192], HPL [1634], PCL [5731], NPL [1025], PLU [1754], MPL [308], PLZ [84], IPL [4205], PST [77450]
transitive [210966]	transitives [7326]
re [209075]	ae [30177], ve [85623], rre [2829], ite [13124], ce [55758], ge [82540], ie [46705], ru [65973], rs [19624], res [10436], rd [23851], ra [204384], rc [10816], ro [104914], ire [9702], whe [3926], pe [102308], ye [113200], nre [2549], fe [34091], je [61100], ore [14121], ure [5453], ke [200255], ri [122532], ere [24117], ue [14380], se [184389]
below [208576]	helow [140], belov [266], beiow [92]
NP [208488]	PP [37710], HP [3523], VP [52125], AP [13909], LDP [301], SNP [273], XP [3330], DP [25319]
consonant [207992]	consonants [133828], consonanl [233]
structure [204446]	structures [49268]
water [203889]	waters [2600]
ï [203498]	fi [67364]
nominal [202103]	nominals [45714]
